Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,3.0
Calibration Date,06/18/2013
Test Name,8530C_2-5_001
Test Start Time,01:01:07 PM
Test Start Date,07/16/2014
Test Length [D:H:M],0:0:54
Test Interval [M:S],0:1
Mass Average [mg/m3],0.012
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.157
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,3259

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1458,0.014,,
1459,0.014,,
1460,0.014,,
1461,0.015,,
1462,0.013,,
1463,0.013,,
1464,0.013,,
1465,0.012,,
1466,0.013,,
1467,0.013,,
1468,0.013,,
1469,0.012,,
1470,0.013,,
1471,0.013,,
1472,0.014,,
1473,0.013,,
1474,0.012,,
1475,0.013,,
1476,0.014,,
1477,0.013,,
1478,0.013,,
1479,0.013,,
1480,0.014,,
1481,0.014,,
1482,0.013,,
1483,0.013,,
1484,0.013,,
1485,0.013,,
1486,0.013,,
1487,0.014,,
1488,0.014,,
1489,0.014,,
1490,0.014,,
1491,0.013,,
1492,0.013,,
1493,0.014,,
1494,0.014,,
1495,0.015,,
1496,0.015,,
1497,0.015,,
1498,0.013,,
1499,0.013,,
1500,0.012,,
1501,0.012,,
1502,0.014,,
1503,0.012,,
1504,0.012,,
1505,0.013,,
1506,0.013,,
1507,0.011,,
1508,0.012,,
1509,0.011,,
1510,0.012,,
1511,0.012,,
1512,0.012,,
1513,0.014,,
1514,0.014,,
1515,0.012,,
1516,0.013,,
1517,0.013,,
1518,0.012,,
1519,0.013,,
1520,0.012,,
1521,0.014,,
1522,0.014,,
1523,0.012,,
1524,0.013,,
1525,0.013,,
1526,0.013,,
1527,0.012,,
1528,0.012,,
1529,0.013,,
1530,0.015,,
1531,0.013,,
1532,0.013,,
1533,0.012,,
1534,0.012,,
1535,0.012,,
1536,0.012,,
1537,0.013,,
1538,0.013,,
1539,0.013,,
1540,0.012,,
1541,0.013,,
1542,0.013,,
1543,0.013,,
1544,0.013,,
1545,0.013,,
